epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,62.067,3.12305,5.8517,4.18263,2.51594,0,0.00568,0.83333,0.01793,0.00596,0.00561,0.80952,0.02083,0.00724,2.11836,2.98171,2.978,1.78445,0,0.00015003,0.00015003,0.00015003
2,99.0618,1.42544,2.36818,2.90902,1.36621,0,0.00492,0.78571,0.30404,0.12837,0.00467,0.71429,0.34464,0.1594,1.64408,3.51347,2.94195,1.78733,0,0.000308891,0.000308891,0.000308891
3,135.71,1.35247,1.91353,2.15826,1.28811,0,0.0057,1,0.49114,0.22687,0.0057,1,0.43787,0.24209,1.4105,3.73353,2.7281,1.53599,0,0.0004595,0.0004595,0.0004595
4,172.664,1.40053,1.73754,1.7075,1.2987,0,0.00568,1,0.34094,0.13877,0.00568,1,0.35558,0.1456,1.75236,2.48754,2.78033,1.79594,0,0.000601858,0.000601858,0.000601858
5,208.832,1.34938,1.73907,1.59038,1.25397,0,0.76315,0.27143,0.26378,0.10016,0.84625,0.35714,0.36212,0.15312,1.79095,2.81922,2.50884,2.08465,0,0.000735964,0.000735964,0.000735964
6,243.426,1.37069,1.75284,1.55717,1.27606,0,1,0.28593,0.70496,0.38414,1,0.28593,0.66924,0.3488,1.31925,2.34133,2.23498,1.54315,0,0.000861818,0.000861818,0.000861818
7,279.254,1.29298,1.59649,1.39357,1.20685,0,0.83338,0.48571,0.7142,0.38327,0.83338,0.48571,0.74083,0.37585,1.49933,2.10809,1.99187,1.61791,0,0.000979421,0.000979421,0.000979421
8,314.973,1.29048,1.63576,1.32389,1.18354,0,0.90639,0.43422,0.89408,0.47788,0.91734,0.43281,0.91504,0.48866,1.59566,2.38694,1.96611,1.74096,0,0.00108877,0.00108877,0.00108877
9,350.782,1.33374,1.61198,1.35486,1.2168,0,0.91992,0.45714,0.89347,0.53047,0.8831,0.41429,0.85195,0.40789,1.28386,3.29942,1.94122,1.60575,0,0.00118987,0.00118987,0.00118987
10,385.947,1.28649,1.5396,1.23505,1.1561,0,0.67558,0.84387,0.9488,0.49179,0.63564,0.82382,0.87409,0.40843,1.69366,3.20124,1.52743,1.77388,0,0.00128272,0.00128272,0.00128272
11,420.618,1.30917,1.60329,1.23363,1.19011,0,0.85006,0.83346,0.97968,0.57014,0.85861,0.84848,0.9841,0.53302,1.44501,2.58267,1.30894,1.63696,0,0.00125442,0.00125442,0.00125442
12,455.84,1.18999,1.5081,1.13068,1.1613,0,0.91694,0.94383,0.97602,0.60489,0.91694,0.94383,0.97602,0.55602,1.29954,2.52424,1.19421,1.4872,0,0.00121316,0.00121316,0.00121316
13,491.409,1.18921,1.50932,1.08983,1.13425,0,0.87098,0.9342,0.94996,0.55428,0.88464,0.94827,0.95917,0.47776,1.55991,2.73496,1.20279,1.65948,0,0.0011719,0.0011719,0.0011719
14,526.299,1.16579,1.46518,1.03707,1.11334,0,0.86974,0.96838,0.98958,0.63686,0.86974,0.96838,0.98958,0.58426,1.27576,1.87414,0.9553,1.43016,0,0.00113064,0.00113064,0.00113064
15,561.045,1.12616,1.34744,1.05952,1.12758,0,0.91079,0.93516,0.98352,0.64374,0.91079,0.93516,0.98352,0.57337,1.36121,1.88289,1.05459,1.46445,0,0.00108938,0.00108938,0.00108938
16,595.599,1.12789,1.4789,1.02015,1.11551,0,0.88644,0.97182,0.97099,0.64465,0.88644,0.97182,0.96132,0.55343,1.3345,2.02073,0.98399,1.38644,0,0.00104813,0.00104813,0.00104813
17,630.334,1.1019,1.48061,0.96747,1.08561,0,0.9243,0.91782,0.96612,0.6071,0.9243,0.91782,0.95159,0.56221,1.51429,1.83338,0.92579,1.48611,0,0.00100687,0.00100687,0.00100687
18,665.353,1.11766,1.48074,0.95243,1.08022,0,0.94285,0.93333,0.98362,0.66874,0.94285,0.93333,0.96522,0.5713,1.13129,1.82597,0.79186,1.34066,0,0.00096561,0.00096561,0.00096561
19,700.957,1.10412,1.40345,0.9803,1.07896,0,0.96317,0.97619,0.98667,0.62941,0.98656,1,0.995,0.61265,1.46569,1.63572,0.89994,1.49931,0,0.000924352,0.000924352,0.000924352
20,735.998,1.13553,1.47227,0.98364,1.08404,0,0.9665,0.9619,0.99103,0.67016,0.9665,0.9619,0.99103,0.64898,1.24664,1.73986,0.83757,1.48539,0,0.000883093,0.000883093,0.000883093
21,771.761,1.1096,1.41965,0.94328,1.10391,0,0.92717,0.97371,0.97757,0.67787,0.92717,0.97371,0.97757,0.62478,1.19845,1.95113,0.80477,1.35207,0,0.000841835,0.000841835,0.000841835
22,806.776,1.01689,1.29244,0.8601,1.07411,0,0.93394,0.97619,0.97945,0.64769,0.93394,0.97619,0.97164,0.62927,1.31115,1.66722,0.77006,1.38361,0,0.000800577,0.000800577,0.000800577
23,841.445,1.00016,1.29193,0.85365,1.0748,0,0.94787,0.97619,0.98585,0.69604,0.94787,0.97619,0.98585,0.62317,1.15748,1.8719,0.71756,1.26642,0,0.000759318,0.000759318,0.000759318
24,878.076,0.99598,1.36437,0.8517,1.05734,0,0.97073,0.97619,0.98221,0.67012,0.97073,0.97619,0.98996,0.61625,1.21285,1.62761,0.75089,1.34325,0,0.00071806,0.00071806,0.00071806
25,914.951,1.06481,1.36721,0.85958,1.06395,0,0.97682,0.99655,0.99472,0.65302,0.95256,0.97331,0.98836,0.64283,1.37979,1.76709,0.82235,1.38495,0,0.000676802,0.000676802,0.000676802
26,946.499,1.04401,1.32481,0.84271,1.0897,0,0.99546,1,0.995,0.69723,0.96529,0.99209,0.99409,0.63885,1.09368,1.60241,0.76098,1.28461,0,0.000635544,0.000635544,0.000635544
27,980.662,0.98209,1.38725,0.81856,1.0493,0,0.977,1,0.99472,0.69885,0.977,1,0.99472,0.67087,1.1029,1.43998,0.78951,1.27426,0,0.000594286,0.000594286,0.000594286
28,1012.25,1.01387,1.29288,0.81052,1.038,0,0.98917,0.98571,0.99421,0.66687,0.98917,0.98571,0.99421,0.65111,1.21846,1.56957,0.69028,1.32736,0,0.000553027,0.000553027,0.000553027
29,1047.89,0.97894,1.31448,0.79212,1.06851,0,0.99429,0.99771,0.995,0.69016,0.99429,0.99771,0.995,0.6584,1.06482,1.44806,0.63335,1.26785,0,0.000511769,0.000511769,0.000511769
30,1077.95,0.99316,1.33611,0.78876,1.02977,0,0.99695,1,0.995,0.67712,0.99695,1,0.995,0.65412,1.20718,1.64261,0.67507,1.24142,0,0.000470511,0.000470511,0.000470511
31,1176.07,1.05668,1.10819,1.26583,1.13086,0,0.99623,1,0.995,0.69886,0.99623,1,0.995,0.66546,1.19988,1.69185,0.67047,1.23403,0,0.000429253,0.000429253,0.000429253
32,1210.81,0.89335,1.03408,0.96358,1.05321,0,0.99628,1,0.995,0.72333,0.99628,1,0.995,0.68876,1.06432,1.4353,0.72591,1.26042,0,0.000387994,0.000387994,0.000387994
33,1244.7,0.87801,1.01982,0.95526,1.03165,0,0.99508,1,0.995,0.70484,0.99508,1,0.995,0.69315,1.24019,1.41739,0.72352,1.33734,0,0.000346736,0.000346736,0.000346736
34,1278.67,0.92136,1.04511,0.93766,1.0297,0,0.98849,1,0.995,0.73251,0.98849,1,0.995,0.683,1.06927,1.53152,0.63091,1.27569,0,0.000305478,0.000305478,0.000305478
35,1312.45,0.82539,1.01224,0.90846,1.01573,0,0.99545,1,0.995,0.72266,0.99545,1,0.995,0.67734,1.08951,1.68508,0.64362,1.26388,0,0.00026422,0.00026422,0.00026422
36,1346.65,0.86305,0.95675,0.8767,1.0431,0,0.99592,1,0.995,0.71302,0.99592,1,0.995,0.67009,1.11355,1.61481,0.60985,1.3126,0,0.000222961,0.000222961,0.000222961
37,1380.47,0.83343,0.98811,0.85307,1.0552,0,0.99694,1,0.995,0.73169,0.99694,1,0.995,0.67745,1.00377,1.45876,0.58901,1.3275,0,0.000181703,0.000181703,0.000181703
38,1415.01,0.81106,0.95512,0.83468,1.0185,0,0.9963,1,0.995,0.74671,0.9963,1,0.995,0.68996,0.92109,1.44197,0.55655,1.30446,0,0.000140445,0.000140445,0.000140445
39,1448.32,0.75733,0.92847,0.81494,1.01347,0,0.99595,1,0.995,0.75249,0.99595,1,0.995,0.68348,0.9871,1.48981,0.56337,1.30061,0,9.91865e-05,9.91865e-05,9.91865e-05
40,1481.72,0.76488,0.95528,0.81187,1.00729,0,0.99594,1,0.995,0.74163,0.99594,1,0.995,0.68081,1.06389,1.52935,0.58098,1.30037,0,5.79283e-05,5.79283e-05,5.79283e-05
